source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/data-analytics/data-analytics/sales-reporting-dashboard,Supported after conversion,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/sales-reporting-dashboard,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/data-analytics/data-analytics/financial-reporting-dashboard,Supported after conversion,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/financial-reporting-dashboard,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/data-analytics/data-profiling,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/data-profiling,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/production-audit,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/production-audit,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/gemini/gemini-deep-research,Approved and supported,development,backend,task-folder/agents/skills/development/backend/gemini-deep-research,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/gemini/gemini-api-dev,Approved and supported,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/gemini-api-dev,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/gemini/gemini-interactions-api,Approved and supported,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/gemini-interactions-api,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/gemini/gemini-api,Approved and supported,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/gemini-api,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/gemini/gemini-omni-flash-api,Approved and supported,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/gemini-omni-flash-api,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/gemini/gemini-api-integration,Approved and supported,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/gemini-api-integration,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/gemini/geminiignore-finops,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/geminiignore-finops,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/gemini/gemini-live-api-dev,Approved and supported,development,backend,task-folder/agents/skills/development/backend/gemini-live-api-dev,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/protocol-reverse-engineering,Approved and supported,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/protocol-reverse-engineering,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/progressive-web-app,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/progressive-web-app,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/loopy,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/loopy,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/protect-mcp-governance,Supported after conversion,workflow-and-automation,tool-integration,task-folder/agents/skills/workflow-and-automation/tool-integration/protect-mcp-governance,child_skill,high,"Primary outcome is integrating external tool APIs, MCP services, and automation hooks.",None,none
task-folder/agents/skills/ab-testing,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/ab-testing,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/stitch-ui-design,Approved and supported,development,backend,task-folder/agents/skills/development/backend/stitch-ui-design,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/nosql-expert,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/nosql-expert,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/open-dynamic-workflows,Approved and supported,workflow-and-automation,task-orchestration,task-folder/agents/skills/workflow-and-automation/task-orchestration/open-dynamic-workflows,child_skill,high,Primary outcome is multi-step workflow coordination and process automation.,None,none
task-folder/agents/skills/build-dashboard,Approved and supported,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/build-dashboard,child_skill,high,"Primary outcome is system telemetry, infrastructure monitoring, and uptime observability.",None,none
task-folder/agents/skills/gmail-automation,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/gmail-automation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/coda-automation,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/coda-automation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/temporal-golang-pro,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/temporal-golang-pro,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
